id;date;details;status;payment_method;payment_date;payment_amount
1;2021-02-21T02:45:34;RAM Focused;PAID;CASH_ON_DELIVERY;2021-02-21T11:07:41;64379
2;2021-02-20T23:35:40;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2021-02-21T04:45:58;17323
3;2021-02-21T04:03:05;Incredible Baby;CANCELLED;PAYPAL;2021-02-21T07:34:46;11017
4;2021-02-21T01:33:00;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2021-02-21T01:37:08;51438
5;2021-02-20T20:13:08;function;PAID;PAYPAL;2021-02-21T12:47:13;32278
6;2021-02-20T21:12:56;action-items;CANCELLED;CASH_ON_DELIVERY;2021-02-21T11:00:08;5232
7;2021-02-21T13:59:39;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2021-02-21T07:37:01;62169
8;2021-02-20T23:54:43;Toys;ISSUED;PAYPAL;2021-02-21T10:32:40;10756
9;2021-02-21T01:25:08;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2021-02-21T15:08:41;58055
10;2021-02-21T00:02:53;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2021-02-21T12:29:04;94075
