id;placed_date;status;code
1;2021-02-21T10:07:34;COMPLETED;Georgia calculate withdrawal
2;2021-02-20T21:04:04;COMPLETED;compress Steel out-of-the-box
3;2021-02-20T22:35:16;PENDING;Concrete
4;2021-02-21T12:01:11;CANCELLED;Investment Account
5;2021-02-20T23:18:01;PENDING;United States of America
6;2021-02-21T13:30:05;CANCELLED;IB Industrial Credit Card Account
7;2021-02-21T16:36:30;CANCELLED;Cotton Egyptian Pound
8;2021-02-21T01:32:34;COMPLETED;Home Loan Account
9;2021-02-21T10:26:50;COMPLETED;Human
10;2021-02-20T20:35:28;CANCELLED;payment
